Name,Autor,Review,Reviews qntd,Format,a-offscreen
"Python Crash Course, 2nd Edition: A Hands-On, Project-Based Introduction to Programming",Eric Matthes,4.7 out of 5 stars,"3,893",Paperback,$21.24
"Learning Python, 5th Edition",Mark Lutz,4.5 out of 5 stars,"1,147",Paperback,$39.37
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",Al Sweigart,4.7 out of 5 stars,"1,282",Paperback,
Head First Python: A Brain-Friendly Guide,Paul Barry,4.5 out of 5 stars,529,Paperback,$34.49
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 5 Books in 1",,4.2 out of 5 stars,30,Kindle,$0.00
Beyond the Basic Stuff with Python: Best Practices for Writing Clean Code,Al Sweigart,4.8 out of 5 stars,39,Paperback,$24.49
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,4.5 out of 5 stars,942,Paperback,
"Python: For Beginners: A Crash Course Guide To Learn Python in 1 Week (coding, programming, web-programming, programmer)",Timothy C. Needham,4.3 out of 5 stars,"1,652",Kindle,$9.99
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,4.6 out of 5 stars,497,Paperback,$55.15
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",,4.7 out of 5 stars,150,Paperback,$69.32
Effective Python: 90 Specific Ways to Write Better Python (Effective Software Development Series),,4.7 out of 5 stars,215,Paperback,$46.55
Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,Marc Wintjen,4.2 out of 5 stars,14,Paperback,$34.99
"Architecture Patterns with Python: Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices",Bob Gregory,4.7 out of 5 stars,144,Paperback,$48.88
Python Programming Language,,4.7 out of 5 stars,376,Paperback,
"Python No Spill Clean and Fill Aquarium Maintenance System, 50-Feet",,4.7 out of 5 stars,"9,704",,$59.99
"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters",Justin Seitz,,,Paperback,$44.95
Programming Python: Powerful Object-Oriented Programming,Mark Lutz,4.5 out of 5 stars,206,Paperback,$33.66
Python Data Science Handbook: Essential Tools for Working with Data,Jake VanderPlas,4.5 out of 5 stars,383,Paperback,$53.30
Python Programming For The Absolute Beginner: What Is Python Programming Language Used For?: Functional Python Programming,,,,Kindle Edition,$0.00
Real-World Python: A Hacker's Guide to Solving Problems with Code,Lee Vaughan,4.5 out of 5 stars,14,Paperback,$26.99
"Python Cookbook, Third Edition",Brian K. Jones,4.6 out of 5 stars,398,Paperback,$25.38
Python: 3 Manuscripts in 1 book: - Python Programming For Beginners - Python Programming For Intermediates - Python Programming for Advanced,Maurice J. Thompson,4.2 out of 5 stars,"2,508",Kindle,$9.99
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),,4.4 out of 5 stars,613,Paperback,
Python All-in-One For Dummies,,4.5 out of 5 stars,489,Paperback,$31.49
Do You Even Code Funny Coding T-Shirt,,,,,$17.99
Python 3 Programming: A Beginner Crash Course Guide to Learn Python 3 in 1 Week,Timothy C. Needham,4.5 out of 5 stars,198,Kindle,$9.99
Introducing Python: Modern Computing in Simple Packages,Bill Lubanovic,4.7 out of 5 stars,165,Paperback,$46.55
Python (2nd Edition): Learn Python in One Day and Learn It Well. Python for Beginners with Hands-on Project. (Learn Coding Fast with Hands-On Project Book 1),,4.5 out of 5 stars,907,Kindle,$0.00
Monty Python and the Holy Grail (Special Edition),,4.8 out of 5 stars,"7,092",DVD,$8.93
Fundamentals of Python: First Programs,,4.3 out of 5 stars,54,Paperback,$32.84
Python,,2.6 out of 5 stars,10,Prime Video,
Python for Finance: Mastering Data-Driven Finance,,4.6 out of 5 stars,167,Paperback,$60.14
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,4.8 out of 5 stars,"1,808",Paperback,$17.50
"Python Hands-Free and Spill Free Aquarium Hook, Green",,4.7 out of 5 stars,"1,797",,$16.24
"Python for Data Science: The Ultimate Step-by-Step Guide to Learn Python In 7 Days & NLP, Data Science from with Python (Master The basics of Data Science and Improve Artificial Intelligence)",Richard Wilson,,,Kindle,$0.00
Python for Excel: A Modern Environment for Automation and Data Analysis,Felix Zumstein,,,Kindle,$36.79
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,,,Paperback,$48.64
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,PROGRAMMING LANGUAGES ACADEMY,4.3 out of 5 stars,145,Kindle,$0.00
Think Python: How to Think Like a Computer Scientist,,4.6 out of 5 stars,324,Paperback,$40.97
Impractical Python Projects: Playful Programming Activities to Make You Smarter,Lee Vaughan,4.7 out of 5 stars,169,Paperback,
Python Workout: 50 ten-minute exercises,,4.9 out of 5 stars,11,Paperback,$56.99
Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,Adrienne Tacke,4.6 out of 5 stars,874,Paperback,$17.80
Python Programming For Beginners: Functional Python Programming: Python Programming,,,,Kindle Edition,$0.00
"Introduction to Computation and Programming Using Python, third edition: With Application to Computational Modeling and Understanding Data",,4.2 out of 5 stars,20,Paperback,
Python for Algorithmic Trading: From Idea to Cloud Deployment,,4.3 out of 5 stars,22,Paperback,$48.04
"Tiny Python Projects: 21 small fun projects for Python beginners designed to build programming skill, teach new algorithms and techniques, and introduce software testing",Ken Youens-Clark,4.8 out of 5 stars,29,Paperback,$33.99
Introduction to Machine Learning with Python: A Guide for Data Scientists,Sarah Guido,4.5 out of 5 stars,343,Paperback,
"PYTHON: Programming & Data Science - The Fastest Way to Become Proficient in Data Analysis, Artificial Intelligence, and Machine Learning, with Step-by-Step Exercises for Beginners (2 Books in 1)",Jason Callaway,4.5 out of 5 stars,21,Kindle,$0.00
Problem Solving with Algorithms and Data Structures Using Python SECOND EDITION,Bradley N. Miller,4.6 out of 5 stars,82,Paperback,$38.30
Complete Python Course 2021 - Programming Exercises!: Boost your Python skills by solving tons of Python assignments across 5 levels of complexity. Solutions included!,,,,Kindle Edition,$0.00
"Python Programming for Beginners: An Introduction to the Python Computer Language and Computer Programming (Python, Python 3, Python Tutorial)",Jason Cannon,4.5 out of 5 stars,684,Kindle,$0.00
Python for Marketing Research and Analytics,Jason S. Schwarz,5.0 out of 5 stars,5,Hardcover,$74.99
Monty Python's The Meaning of Life [Blu-ray],VHS Tape,4.7 out of 5 stars,"2,211",Blu-ray,$9.99
"Python No Spill Clean and Fill Aquarium Gravel Tube Hose Extension, 10-Feet",,4.8 out of 5 stars,597,,$8.99
"Curso intensivo de Python, 2ª edición: Introducción práctica a la programación basada en proyectos (Spanish Edition)",,5.0 out of 5 stars,1,Paperback,$62.42
Boa Vs. Python,,3.9 out of 5 stars,145,Prime Video,
"Image Analysis, Classification and Change Detection in Remote Sensing: With Algorithms for Python, Fourth Edition",Morton John Canty,5.0 out of 5 stars,5,Hardcover,$75.01
